skenario,kode_kab_kota,kabupaten_kota_normalized,provinsi_normalized,priority_score,rank,in_top10
Fokus kerentanan,5312,Sumba Barat,Nusa Tenggara Timur,49.36334973222211,14,False
Fokus kerentanan,5313,Lembata,Nusa Tenggara Timur,40.439849232154145,49,False
Fokus kerentanan,5314,Rote Ndao,Nusa Tenggara Timur,43.074774741937674,33,False
Fokus kerentanan,5315,Manggarai Barat,Nusa Tenggara Timur,39.471015421082214,56,False
Fokus kerentanan,5316,Nagekeo,Nusa Tenggara Timur,30.467326074719512,140,False
Fokus kerentanan,5317,Sumba Tengah,Nusa Tenggara Timur,54.83239039640486,7,True
Fokus kerentanan,5318,Sumba Barat Daya,Nusa Tenggara Timur,56.73851904155559,4,True
Fokus kerentanan,5319,Manggarai Timur,Nusa Tenggara Timur,52.68766619576661,9,True
Fokus kerentanan,5320,Sabu Raijua,Nusa Tenggara Timur,50.843648838618,11,False
Fokus kerentanan,5371,Kupang,Nusa Tenggara Timur,31.451521949690946,123,False
Fokus kerentanan,6101,Sambas,Kalimantan Barat,39.88292626044302,53,False
Fokus kerentanan,6102,Mempawah,Kalimantan Barat,27.980447500649408,173,False
Fokus kerentanan,6103,Sanggau,Kalimantan Barat,19.068924006585828,318,False
Fokus kerentanan,6104,Ketapang,Kalimantan Barat,20.195209878283116,305,False
Fokus kerentanan,6105,Sintang,Kalimantan Barat,31.301245782676215,128,False
Fokus kerentanan,6107,Bengkayang,Kalimantan Barat,23.55519189954536,256,False
Fokus kerentanan,6108,Landak,Kalimantan Barat,33.3151908360337,92,False
Fokus kerentanan,6109,Sekadau,Kalimantan Barat,17.53238829375755,344,False
Fokus kerentanan,6111,Kayong Utara,Kalimantan Barat,27.156382969489684,190,False
Fokus kerentanan,6112,Kubu Raya,Kalimantan Barat,31.088008582462262,130,False
Fokus kerentanan,6171,Pontianak,Kalimantan Barat,26.382056597226274,210,False
Fokus kerentanan,6172,Singkawang,Kalimantan Barat,26.64357173879895,204,False
Fokus kerentanan,6201,Waringin Barat,Kalimantan Tengah,24.066688455348395,248,False
Fokus kerentanan,6204,Barito Selatan,Kalimantan Tengah,34.60244208399448,84,False
Fokus kerentanan,6205,Barito Utara,Kalimantan Tengah,20.271673611907044,304,False
Fokus kerentanan,6207,Seruyan,Kalimantan Tengah,35.572218764870314,78,False
Fokus kerentanan,6208,Sukamara,Kalimantan Tengah,24.153417868438517,244,False
Fokus kerentanan,6210,Gunung Mas,Kalimantan Tengah,22.554112924674786,269,False
Fokus kerentanan,6211,Pulang Pisau,Kalimantan Tengah,25.774784288043254,221,False
Fokus kerentanan,6212,Murung Raya,Kalimantan Tengah,24.90077788727671,228,False
Fokus kerentanan,6213,Barito Timur,Kalimantan Tengah,21.803449350910228,282,False
Fokus kerentanan,6271,Palangka Raya,Kalimantan Tengah,18.863471139804705,322,False
Fokus kerentanan,6302,Baru,Kalimantan Selatan,26.338758011756006,212,False
Fokus kerentanan,6303,Banjar,Kalimantan Selatan,32.570839379357835,101,False
Fokus kerentanan,6304,Barito Kuala,Kalimantan Selatan,15.898513973487898,363,False
Fokus kerentanan,6305,Tapin,Kalimantan Selatan,11.37462669117086,399,False
Fokus kerentanan,6308,Hulu Sungai Utara,Kalimantan Selatan,27.674858506225526,181,False
Fokus kerentanan,6310,Tanah Bumbu,Kalimantan Selatan,20.4754227802859,301,False
Fokus kerentanan,6311,Balangan,Kalimantan Selatan,16.39064614060128,359,False
Fokus kerentanan,6371,Banjarmasin,Kalimantan Selatan,24.724868095222956,230,False
Fokus kerentanan,6372,Banjar Baru,Kalimantan Selatan,16.44118812756143,357,False
Fokus kerentanan,6401,Paser,Kalimantan Timur,24.146647810680506,245,False
Fokus kerentanan,6402,Kutai Kertanegara,Kalimantan Timur,16.36867168072113,360,False
Fokus kerentanan,6403,Berau,Kalimantan Timur,20.70438991428621,298,False
Fokus kerentanan,6407,Kutai Barat,Kalimantan Timur,35.27278292541133,80,False
Fokus kerentanan,6408,Kutai Timur,Kalimantan Timur,32.81882462515929,96,False
Fokus kerentanan,6409,Penajam Paser Utara,Kalimantan Timur,26.45959550522221,208,False
Fokus kerentanan,6411,Mahakam Ulu,Kalimantan Timur,32.74829241715727,98,False
Fokus kerentanan,6471,Balikpapan,Kalimantan Timur,21.92794942450513,279,False
Fokus kerentanan,6472,Samarinda,Kalimantan Timur,17.92374828192385,339,False
Fokus kerentanan,6474,Bontang,Kalimantan Timur,17.948384784491,338,False
Fokus kerentanan,6502,Malinau,Kalimantan Utara,28.816465398850717,159,False
Fokus kerentanan,6504,Tana Tidung,Kalimantan Utara,13.470450000602897,387,False
Fokus kerentanan,6571,Tarakan,Kalimantan Utara,13.029709391948849,393,False
Fokus kerentanan,7101,Bolaang Mongondow,Sulawesi Utara,21.20993160282371,290,False
Fokus kerentanan,7102,Minahasa,Sulawesi Utara,19.35991841864277,314,False
Fokus kerentanan,7103,Kepulauan Sangihe,Sulawesi Utara,32.6708310300957,100,False
Fokus kerentanan,7104,Kepulauan Talaud,Sulawesi Utara,15.677322443664629,366,False
Fokus kerentanan,7105,Minahasa Selatan,Sulawesi Utara,25.947883164689472,214,False
Fokus kerentanan,7106,Minahasa Utara,Sulawesi Utara,17.5864322638359,342,False
Fokus kerentanan,7108,Bolaang Mongondow Utara,Sulawesi Utara,24.708079837540698,231,False
Fokus kerentanan,7109,Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,29.27660517362679,152,False
Fokus kerentanan,7111,Bolaang Mongondow Selatan,Sulawesi Utara,24.09196430252275,247,False
Fokus kerentanan,7171,Manado,Sulawesi Utara,18.43633059898494,330,False
Fokus kerentanan,7172,Bitung,Sulawesi Utara,21.97156777922715,278,False
Fokus kerentanan,7173,Tomohon,Sulawesi Utara,10.893607589391664,401,False
Fokus kerentanan,7174,Kotamobago,Sulawesi Utara,22.365123258268223,271,False
Fokus kerentanan,7201,Banggai,Sulawesi Tengah,30.363585622743333,143,False
Fokus kerentanan,7202,Poso,Sulawesi Tengah,25.841992096190783,219,False
Fokus kerentanan,7203,Donggala,Sulawesi Tengah,36.81559379477167,68,False
Fokus kerentanan,7204,Toli-Toli,Sulawesi Tengah,32.505048029565174,104,False
Fokus kerentanan,7205,Buol,Sulawesi Tengah,36.832063256982686,67,False
Fokus kerentanan,7206,Morowali,Sulawesi Tengah,27.5862290419959,182,False
Fokus kerentanan,7207,Banggai Kepulauan,Sulawesi Tengah,40.48895172207832,47,False
Fokus kerentanan,7208,Parigi Moutong,Sulawesi Tengah,27.384344648967453,187,False
Fokus kerentanan,7209,Tojo Una Una,Sulawesi Tengah,22.03321884875507,276,False
Fokus kerentanan,7210,Sigi,Sulawesi Tengah,35.29968942392557,79,False
Fokus kerentanan,7211,Banggai Laut,Sulawesi Tengah,40.98748858096924,45,False
Fokus kerentanan,7212,Morowali Utara,Sulawesi Tengah,25.31378798184931,225,False
Fokus kerentanan,7271,Palu,Sulawesi Tengah,25.496355099456423,223,False
Fokus kerentanan,7301,Selayar,Sulawesi Selatan,31.953253601032294,116,False
Fokus kerentanan,7302,Bulukumba,Sulawesi Selatan,28.479349190381996,165,False
Fokus kerentanan,7303,Bantaeng,Sulawesi Selatan,22.15522757656815,274,False
Fokus kerentanan,7304,Jeneponto,Sulawesi Selatan,38.625088026882345,62,False
Fokus kerentanan,7306,Gowa,Sulawesi Selatan,18.4162540847681,331,False
Fokus kerentanan,7308,Bone,Sulawesi Selatan,27.899147492012197,174,False
Fokus kerentanan,7310,Pangkajene dan Kepulauan,Sulawesi Selatan,33.511221284208005,91,False
Fokus kerentanan,7311,Barru,Sulawesi Selatan,27.982063048925706,172,False
